,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,conversation_awkward,flow_naturally,hard_time_understanding_each_other,contributes_to_successful_completion,making_self_clear,engaged_in_game,planning_what_to_say,gives_encouragement,difficult_for_partner_to_speak,bored_with_game,dislikes_partner
122,14.0,8.0,17.0,1.0,0.147642443365,0.557693998123,5.0,g8t14,8.0,14.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,0.0,0.0,0.0
123,14.0,8.0,18.0,0.0,0.0993538235809,-0.0886827750785,1.0,g8t14,8.0,14.0,1.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,0.0,0.0
124,1.0,9.0,6.0,1.0,0.114976010919,-0.53473105541,0.0,g9t1,9.0,1.0,2.0,5.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0
125,1.0,9.0,6.0,0.0,0.149843026031,-0.53473105541,0.0,g9t1,9.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,1.0
126,2.0,9.0,5.0,1.0,0.0872337010149,0.952062921871,0.0,g9t2,9.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,3.0,0.0,2.0,0.0
127,2.0,9.0,5.0,0.0,0.0913794891513,0.952062921871,0.0,g9t2,9.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,3.0,4.0,0.0,0.0,0.0
128,4.0,9.0,7.0,1.0,0.113866485786,-0.906531292455,0.0,g9t4,9.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0,1.0,3.0,0.0,1.0,1.0
129,4.0,9.0,7.0,0.0,0.0884556375358,-0.906531292455,0.0,g9t4,9.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,1.0,5.0,1.0,1.0,2.0
130,5.0,9.0,5.0,1.0,0.128218803117,-0.518478323241,1.0,g9t5,9.0,5.0,1.0,5.0,2.0,5.0,4.0,5.0,3.0,5.0,0.0,0.0,1.0
131,5.0,9.0,5.0,0.0,0.081868839717,0.691922063013,1.0,g9t5,9.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,0.0,1.0,1.0
132,6.0,9.0,5.0,1.0,0.125761441686,-0.82626988891,0.0,g9t6,9.0,6.0,2.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0
133,6.0,9.0,5.0,0.0,0.0808010014011,-0.82626988891,0.0,g9t6,9.0,6.0,2.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0,2.0,1.0
134,7.0,9.0,10.0,1.0,0.167663289132,-0.45048055887,3.0,g9t7,9.0,7.0,1.0,5.0,3.0,4.0,3.0,5.0,1.0,4.0,1.0,0.0,0.0
135,7.0,9.0,10.0,0.0,0.0928125175108,0.59532800383,1.0,g9t7,9.0,7.0,1.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,0.0,1.0,0.0
136,9.0,9.0,7.0,1.0,0.107598367857,0.479952156491,0.0,g9t9,9.0,9.0,2.0,3.0,1.0,4.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0
137,9.0,9.0,6.0,0.0,0.0599280807939,0.479952156491,0.0,g9t9,9.0,9.0,2.0,3.0,1.0,3.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0
138,11.0,9.0,9.0,1.0,0.109286376251,0.480748182611,3.0,g9t11,9.0,11.0,1.0,4.0,3.0,2.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0
139,11.0,9.0,9.0,0.0,0.0776852965741,0.330977095923,0.0,g9t11,9.0,11.0,1.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,0.0,0.0,1.0
140,13.0,9.0,11.0,1.0,0.107074633047,-0.464831688304,1.0,g9t13,9.0,13.0,2.0,5.0,1.0,4.0,5.0,4.0,3.0,4.0,0.0,2.0,2.0
141,13.0,9.0,9.0,0.0,0.131519960367,-0.307264886737,0.0,g9t13,9.0,13.0,2.0,5.0,1.0,5.0,3.0,4.0,0.0,5.0,1.0,0.0,1.0
