,task,session,count,speaker,tama_mean,entrainment,best_lag,hitid,session,task,believes_is_better_than_partner_A_yes,believes_is_better_than_partner_A_no,believes_is_better_than_partner_B_yes,believes_is_better_than_partner_B_no,bored_with_game_A_yes,bored_with_game_A_no,bored_with_game_B_yes,bored_with_game_B_no,difficult_for_partner_to_speak_A_yes,difficult_for_partner_to_speak_A_no,difficult_for_partner_to_speak_B_yes,difficult_for_partner_to_speak_B_no,directs_the_conversation_A_yes,directs_the_conversation_A_no,directs_the_conversation_B_yes,directs_the_conversation_B_no,contributes_to_successful_completion_A_yes,contributes_to_successful_completion_A_no,contributes_to_successful_completion_B_yes,contributes_to_successful_completion_B_no,frustrated_with_partner_A_yes,frustrated_with_partner_A_no,frustrated_with_partner_B_yes,frustrated_with_partner_B_no,frustrated_with_game_A_yes,frustrated_with_game_A_no,frustrated_with_game_B_yes,frustrated_with_game_B_no,engaged_in_game_A_yes,engaged_in_game_A_no,engaged_in_game_B_yes,engaged_in_game_B_no,gives_encouragement_A_yes,gives_encouragement_A_no,gives_encouragement_B_yes,gives_encouragement_B_no,making_self_clear_A_yes,making_self_clear_A_no,making_self_clear_B_yes,making_self_clear_B_no,planning_what_to_say_A_yes,planning_what_to_say_A_no,planning_what_to_say_B_yes,planning_what_to_say_B_no,polite_A_yes,polite_A_no,polite_B_yes,polite_B_no,dislikes_partner_A_yes,dislikes_partner_A_no,dislikes_partner_B_yes,dislikes_partner_B_no,trying_to_be_liked_A_yes,trying_to_be_liked_A_no,trying_to_be_liked_B_yes,trying_to_be_liked_B_no,trying_to_dominate_A_yes,trying_to_dominate_A_no,trying_to_dominate_B_yes,trying_to_dominate_B_no,conversation_awkward_yes,conversation_awkward_no,flow_naturally_yes,flow_naturally_no,hard_time_understanding_each_other_yes,hard_time_understanding_each_other_no,like_more_A,like_more_B,rather_have_as_a_partner_A,rather_have_as_a_partner_B,directing_the_conversation_A,directing_the_conversation_B,dominates_the_conversation_A,dominates_the_conversation_B,likes_the_other_person_more_A,likes_the_other_person_more_B,acting_superior_A,acting_superior_B,more_polite_A,more_polite_B,more_frustrated_A,more_frustrated_B
128,4.0,9.0,7.0,0.0,39.33052849228439,-0.36779683769995586,3.0,g9t4,9.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,5.0,0.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,5.0,3.0,2.0,5.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,3.0,2.0,5.0,0.0,2.0,3.0,2.0,3.0
130,5.0,9.0,5.0,0.0,38.78498198978037,0.4233197174107232,1.0,g9t5,9.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,4.0,1.0,4.0,1.0,5.0,0.0,2.0,3.0,0.0,5.0,2.0,3.0,2.0,3.0,4.0,1.0,5.0,0.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0
132,6.0,9.0,5.0,0.0,39.98425960466253,-0.6281064074400531,1.0,g9t6,9.0,6.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,0.0,5.0,3.0,2.0,4.0,1.0,5.0,0.0,0.0,5.0,2.0,3.0,0.0,5.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,5.0,0.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,3.0,2.0,0.0,5.0,2.0,3.0,1.0,4.0
134,7.0,9.0,10.0,0.0,35.842299990491526,-0.5379084750526643,5.0,g9t7,9.0,7.0,0.0,5.0,2.0,3.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,0.0,5.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,4.0,1.0,0.0,5.0,1.0,4.0,1.0,4.0,5.0,0.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,0.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0
136,9.0,9.0,7.0,0.0,36.74143615148873,-0.7620777585375383,1.0,g9t9,9.0,9.0,1.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,3.0,2.0,4.0,1.0,0.0,5.0,2.0,3.0,2.0,3.0,1.0,4.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,5.0,0.0,1.0,4.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,2.0,3.0,3.0,2.0,0.0,5.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,0.0,4.0,1.0,5.0,0.0,4.0,1.0,2.0,3.0,3.0,2.0
138,11.0,9.0,9.0,0.0,35.61475302603775,-0.5260370936688993,0.0,g9t11,9.0,11.0,1.0,4.0,1.0,4.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,0.0,5.0,5.0,0.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0,0.0,5.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0
140,13.0,9.0,11.0,0.0,36.1746964211103,0.5427704307098101,0.0,g9t13,9.0,13.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,4.0,1.0,1.0,4.0,0.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,5.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,0.0,5.0,3.0,2.0,5.0,0.0,5.0,0.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,5.0,2.0,3.0,5.0,0.0,1.0,4.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,2.0,3.0,2.0,3.0
142,14.0,9.0,5.0,0.0,34.349284614542825,0.19176466135596446,0.0,g9t14,9.0,14.0,1.0,4.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,3.0,2.0,5.0,0.0,0.0,5.0,3.0,2.0,2.0,3.0,5.0,0.0,0.0,5.0,1.0,4.0,3.0,2.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0
144,1.0,10.0,12.0,0.0,39.44107944374612,0.4940415225889418,2.0,g10t1,10.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,4.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,1.0,4.0,5.0,0.0,5.0,0.0,3.0,2.0,2.0,3.0,4.0,1.0,5.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,4.0,1.0,0.0,5.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,5.0,4.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,5.0,0.0,3.0,2.0,1.0,4.0
146,2.0,10.0,7.0,0.0,39.62571373115601,0.7757461102649696,0.0,g10t2,10.0,2.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,3.0,2.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,5.0,0.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,5.0,2.0,3.0,4.0,1.0,5.0,0.0,5.0,0.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0
148,3.0,10.0,15.0,0.0,38.8672675485088,-0.39117554080423966,0.0,g10t3,10.0,3.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,5.0,0.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,5.0,0.0,3.0,2.0,0.0,5.0,0.0,5.0,2.0,3.0,1.0,4.0,0.0,5.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,1.0
150,4.0,10.0,16.0,0.0,40.82675620133701,-0.2874236253005102,5.0,g10t4,10.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,0.0,5.0,5.0,0.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,5.0,0.0,2.0,3.0,3.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,5.0,0.0,1.0,4.0,0.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,5.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,2.0,3.0,5.0,0.0,3.0,2.0,2.0,3.0
152,5.0,10.0,14.0,0.0,38.996307331019956,-0.2477054297251309,0.0,g10t5,10.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,3.0,2.0,1.0,4.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,4.0,1.0,3.0,2.0,0.0,5.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0
154,6.0,10.0,6.0,0.0,41.36093040469229,-0.4201062732175421,1.0,g10t6,10.0,6.0,0.0,5.0,2.0,3.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,4.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,4.0,1.0,5.0,0.0,4.0,1.0,3.0,2.0,4.0,1.0,5.0,0.0,2.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,2.0,3.0,0.0,5.0,2.0,3.0,1.0,4.0,5.0,0.0,1.0,4.0,3.0,2.0,3.0,2.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,0.0,5.0,3.0,2.0
156,7.0,10.0,12.0,0.0,41.44842130762061,0.44489799257010143,2.0,g10t7,10.0,7.0,2.0,3.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,2.0,3.0,1.0,4.0,5.0,0.0,5.0,0.0,2.0,3.0,2.0,3.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,0.0,5.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,0.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
158,8.0,10.0,19.0,0.0,43.30691529337676,0.4202367989064434,2.0,g10t8,10.0,8.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,4.0,1.0,5.0,0.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,3.0,2.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
160,9.0,10.0,49.0,0.0,39.869927617483754,-0.20958380469481352,2.0,g10t9,10.0,9.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,3.0,2.0,1.0,4.0,1.0,4.0,0.0,5.0,5.0,0.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,2.0,3.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,4.0,1.0,1.0,4.0,0.0,5.0
162,10.0,10.0,43.0,0.0,40.80939168996405,-0.2637582792422616,3.0,g10t10,10.0,10.0,4.0,1.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,5.0,0.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,5.0,4.0,1.0,2.0,3.0,0.0,5.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,5.0,5.0,0.0,3.0,2.0,4.0,1.0
164,11.0,10.0,13.0,0.0,38.112979156019534,0.5197508731311048,2.0,g10t11,10.0,11.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,4.0,1.0,3.0,2.0
166,12.0,10.0,12.0,0.0,38.366967110050965,0.3992527261506306,5.0,g10t12,10.0,12.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,5.0,0.0,5.0,0.0,4.0,1.0,0.0,5.0,1.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,0.0,4.0,1.0,3.0,2.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,0.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0
168,13.0,10.0,21.0,0.0,38.92350425911712,-0.28296498673628273,2.0,g10t13,10.0,13.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,5.0,0.0,1.0,4.0,2.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0
170,14.0,10.0,12.0,0.0,42.165733428334015,0.6155700354963627,5.0,g10t14,10.0,14.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,2.0,3.0,3.0,2.0,5.0,0.0,4.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,1.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,5.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0
172,3.0,11.0,10.0,0.0,42.992896438376235,-0.5526322153530926,5.0,g11t3,11.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,0.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,5.0,0.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,5.0,0.0,4.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,0.0,4.0,1.0,1.0,4.0,0.0,5.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,2.0
174,4.0,11.0,8.0,0.0,46.662416316472545,-0.19019474770191125,1.0,g11t4,11.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,1.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,1.0,1.0,4.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,5.0,0.0,1.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,3.0,2.0,5.0,0.0,3.0,2.0,3.0,2.0
176,6.0,11.0,5.0,0.0,37.306159398210134,-0.39100728581360483,0.0,g11t6,11.0,6.0,2.0,3.0,1.0,4.0,2.0,3.0,0.0,5.0,0.0,5.0,3.0,2.0,0.0,5.0,5.0,0.0,4.0,1.0,5.0,0.0,2.0,3.0,0.0,5.0,2.0,3.0,0.0,5.0,3.0,2.0,5.0,0.0,3.0,2.0,3.0,2.0,5.0,0.0,4.0,1.0,1.0,4.0,4.0,1.0,5.0,0.0,4.0,1.0,2.0,3.0,0.0,5.0,1.0,4.0,3.0,2.0,0.0,5.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0,0.0,5.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0
178,7.0,11.0,8.0,0.0,39.986425623265006,0.3819737135182653,1.0,g11t7,11.0,7.0,2.0,3.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,3.0,2.0,0.0,5.0,5.0,0.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,5.0,0.0,4.0,1.0,3.0,2.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,4.0,1.0,0.0,5.0,4.0,1.0,0.0,5.0,3.0,2.0,2.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,3.0,2.0,5.0,0.0,5.0,0.0
180,9.0,11.0,5.0,0.0,42.01386165287351,0.5762754225131934,0.0,g11t9,11.0,9.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,2.0,3.0,5.0,0.0,1.0,4.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,5.0,0.0,5.0,0.0,4.0,1.0,3.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,3.0,2.0,0.0,5.0,2.0,3.0,1.0,4.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,3.0,2.0,4.0,1.0,1.0,4.0,0.0,5.0
182,10.0,11.0,5.0,0.0,36.68268585003902,0.26064169550249017,0.0,g11t10,11.0,10.0,2.0,3.0,4.0,1.0,1.0,4.0,0.0,5.0,0.0,5.0,3.0,2.0,0.0,5.0,5.0,0.0,4.0,1.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,0.0,2.0,3.0,0.0,5.0,0.0,5.0,2.0,3.0,2.0,3.0,0.0,5.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,5.0,2.0,3.0
184,11.0,11.0,7.0,0.0,46.5076936324409,0.6919648146870089,1.0,g11t11,11.0,11.0,2.0,3.0,0.0,5.0,2.0,3.0,0.0,5.0,2.0,3.0,2.0,3.0,5.0,0.0,2.0,3.0,5.0,0.0,4.0,1.0,2.0,3.0,0.0,5.0,0.0,5.0,3.0,2.0,4.0,1.0,5.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,0.0,1.0,4.0,0.0,5.0,0.0,5.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,4.0,5.0,0.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,0.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0
186,13.0,11.0,10.0,0.0,41.74058609136316,0.6256524859494479,2.0,g11t13,11.0,13.0,2.0,3.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,3.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,0.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,0.0,3.0,2.0,2.0,3.0,5.0,0.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0,2.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,3.0,2.0,0.0,5.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0
188,14.0,11.0,8.0,0.0,38.87444623045231,-0.5428016351232545,3.0,g11t14,11.0,14.0,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,3.0,2.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,1.0,0.0,5.0,4.0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,5.0,0.0,1.0,4.0,4.0,1.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0,3.0,2.0,0.0,5.0,1.0,4.0,1.0,4.0,5.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,1.0,5.0,0.0
190,1.0,12.0,7.0,0.0,38.20676308401873,0.6794556752345144,2.0,g12t1,12.0,1.0,0.0,5.0,0.0,5.0,1.0,4.0,3.0,2.0,0.0,5.0,0.0,5.0,5.0,0.0,1.0,4.0,5.0,0.0,4.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,4.0,5.0,0.0,4.0,1.0,5.0,0.0,3.0,2.0,5.0,0.0,4.0,1.0,5.0,0.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,1.0,4.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,5.0,0.0,5.0,0.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0
192,4.0,12.0,11.0,0.0,42.89269689556838,0.7231675831613947,3.0,g12t4,12.0,4.0,1.0,4.0,0.0,5.0,0.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,0.0,0.0,5.0,5.0,0.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,0.0,4.0,1.0,2.0,3.0,5.0,0.0,4.0,1.0,0.0,5.0,0.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,5.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,5.0,0.0,4.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0
